FN,EAR_L,EAR_R,EAR,EAR_Diff,NewEAR
1,0.3332905292369822,0.33605382537740525,0.33467217730719373,0.0027632961404230327,0.33467217730719373
2,0.34338619790936886,0.34241198070025447,0.34289908930481167,0.0009742172091143919,0.34289908930481167
3,0.33482844174145093,0.3371890327991882,0.33600873727031955,0.0023605910577372824,0.33600873727031955
4,0.3253657737680743,0.32940485374123374,0.327385313754654,0.004039079973159443,0.327385313754654
5,0.335543949607928,0.3306100673919753,0.33307700849995164,0.004933882215952701,0.33307700849995164
6,0.32247722543600904,0.31959892476771534,0.3210380751018622,0.0028783006682936985,0.3210380751018622
7,0.326964692341558,0.32536452854776005,0.32616461044465905,0.0016001637937979596,0.32616461044465905
8,0.3179112895564399,0.32587229348309976,0.3218917915197698,0.007961003926659882,0.3218917915197698
9,0.32561175438707524,0.33157255511172246,0.32859215474939885,0.0059608007246472194,0.32859215474939885
10,0.32298695342666023,0.33045234805569795,0.3267196507411791,0.007465394629037725,0.3267196507411791
11,0.3228818879675979,0.3224799541592092,0.32268092106340357,0.0004019338083887103,0.32268092106340357
12,0.32908033083397914,0.3076134685039991,0.3183468996689891,0.02146686232998002,0.3183468996689891
13,0.3216122053307537,0.3061880964133376,0.31390015087204565,0.01542410891741608,0.31390015087204565
14,0.31929891310012837,0.3178096072719145,0.3185542601860214,0.0014893058282138827,0.3185542601860214
15,0.3263858397587904,0.322588262398718,0.3244870510787542,0.0037975773600723572,0.3244870510787542
16,0.32556948949489506,0.31681569857574027,0.32119259403531764,0.008753790919154791,0.32119259403531764
17,0.31642048648076077,0.3111977649114308,0.31380912569609576,0.005222721569329958,0.31380912569609576
18,0.3184873071403512,0.3143079268153732,0.3163976169778622,0.004179380324977999,0.3163976169778622
19,0.31393870901860654,0.3070534835766773,0.3104960962976419,0.006885225441929266,0.3104960962976419
20,0.3181369790222358,0.30473440636133575,0.3114356926917858,0.013402572660900058,0.3114356926917858
21,0.3232661281076296,0.31449504886009916,0.31888058848386436,0.008771079247530456,0.31888058848386436
22,0.33024734993236543,0.3086356264582945,0.31944148819532997,0.02161172347407092,0.31944148819532997
23,0.33226657593390774,0.30433688574775136,0.3183017308408296,0.027929690186156375,0.3183017308408296
24,0.33218947702912627,0.30857144645028295,0.3203804617397046,0.02361803057884332,0.3203804617397046
25,0.3214253963208592,0.30912063838153736,0.3152730173511983,0.012304757939321842,0.3152730173511983
26,0.31940497475165136,0.316538166981428,0.3179715708665397,0.0028668077702233563,0.3179715708665397
27,0.3165273254304198,0.3228243080732494,0.3196758167518346,0.006296982642829629,0.3196758167518346
28,0.3205201321581922,0.31229304993434537,0.3164065910462688,0.008227082223846827,0.3164065910462688
29,0.3095922221701997,0.315347988621382,0.3124701053957909,0.005755766451182309,0.3124701053957909
30,0.3094053853981788,0.3182452612890368,0.3138253233436078,0.008839875890857996,0.3138253233436078
31,0.31476123922908433,0.32073150595284977,0.31774637259096705,0.005970266723765438,0.31774637259096705
32,0.3243397367745886,0.3231762364771665,0.3237579866258775,0.0011635002974221265,0.3237579866258775
33,0.3175383800746758,0.30564908560968296,0.3115937328421794,0.011889294464992817,0.3115937328421794
34,0.3136697590339962,0.30690288277210076,0.3102863209030485,0.006766876261895427,0.3102863209030485
35,0.32341116281980903,0.3103596844438688,0.3168854236318389,0.013051478375940229,0.3168854236318389
36,0.31987459289423487,0.3219696719472331,0.320922132420734,0.0020950790529982166,0.320922132420734
37,0.32517124463541147,0.30902864079904546,0.31709994271722847,0.01614260383636601,0.31709994271722847
38,0.3180047109671693,0.3078862257156949,0.3129454683414321,0.010118485251474407,0.3129454683414321
39,0.3264320131937942,0.30076419201986343,0.31359810260682885,0.025667821173930794,0.31359810260682885
40,0.32953816796941243,0.303515543348911,0.3165268556591617,0.026022624620501422,0.3165268556591617
41,0.3229363653505912,0.3076735872213353,0.31530497628596327,0.015262778129255916,0.31530497628596327
42,0.3347672914460874,0.30714137520568,0.32095433332588374,0.02762591624040739,0.32095433332588374
43,0.33079686577912715,0.30856869344924415,0.3196827796141857,0.022228172329883,0.3196827796141857
44,0.3333183738393764,0.31612310794465237,0.3247207408920144,0.017195265894724032,0.3247207408920144
45,0.33813466052066404,0.32276029511197746,0.3304474778163208,0.015374365408686586,0.3304474778163208
46,0.32566631019444564,0.31596173991640913,0.3208140250554274,0.009704570278036506,0.3208140250554274
47,0.33541480790923034,0.3122884463269751,0.3238516271181027,0.023126361582255228,0.3238516271181027
