FN,EAR_L,EAR_R,EAR,EAR_Diff,NewEAR
1,0.4912206322813966,0.42441217745928533,0.457816404870341,0.06680845482211129,0.457816404870341
2,0.49862085864493366,0.3998129840088218,0.44921692132687774,0.09880787463611185,0.44921692132687774
3,0.48369517946530916,0.37738068319364687,0.43053793132947804,0.10631449627166228,0.43053793132947804
4,0.47042863345320773,0.41448221217918113,0.44245542281619443,0.0559464212740266,0.44245542281619443
5,0.48720943440735,0.3963741747096245,0.4417918045584872,0.09083525969772549,0.4417918045584872
6,0.48020600593623186,0.3933229716173616,0.43676448877679674,0.08688303431887023,0.43676448877679674
7,0.4689234258458146,0.43568599035795175,0.45230470810188317,0.03323743548786284,0.45230470810188317
8,0.45930679499945354,0.39558658380731054,0.42744668940338204,0.063720211192143,0.42744668940338204
9,0.46818319293014277,0.4148394735294862,0.4415113332298145,0.053343719400656575,0.4415113332298145
10,0.4593683766214522,0.38437239407107304,0.42187038534626264,0.07499598255037915,0.42187038534626264
11,0.4596202601167985,0.4316419613734489,0.44563111074512374,0.027978298743349617,0.44563111074512374
12,0.4638864941775137,0.39478729998769774,0.4293368970826057,0.06909919418981597,0.4293368970826057
13,0.4680752560286173,0.4121116936873221,0.4400934748579697,0.05596356234129524,0.4400934748579697
14,0.4951762451526078,0.39918320965670717,0.4471797274046575,0.0959930354959006,0.4471797274046575
15,0.4676194756534821,0.3626089066975211,0.41511419117550163,0.105010568955961,0.41511419117550163
16,0.4675497315143283,0.40725252789413435,0.43740112970423134,0.06029720362019397,0.43740112970423134
17,0.4589644979039,0.4085746320762635,0.43376956499008174,0.05038986582763649,0.43376956499008174
18,0.4598220438681828,0.43524469937950905,0.44753337162384593,0.02457734448867377,0.44753337162384593
19,0.457259339549823,0.40139282669149434,0.4293260831206587,0.055866512858328665,0.4293260831206587
20,0.44519285811233067,0.3907126307275531,0.4179527444199419,0.05448022738477759,0.4179527444199419
21,0.4503453718717248,0.4590562901432747,0.45470083100749975,0.008710918271549906,0.45470083100749975
22,0.46932598844807455,0.4196226981389967,0.44447434329353563,0.04970329030907783,0.44447434329353563
23,0.4604883325156774,0.3989879111414691,0.42973812182857324,0.0615004213742083,0.42973812182857324
24,0.4356342513369695,0.41433564760823094,0.42498494947260024,0.02129860372873854,0.42498494947260024
25,0.4678397684693568,0.37317727882513135,0.4205085236472441,0.09466248964422547,0.4205085236472441
26,0.481036743518386,0.4363203230266599,0.45867853327252295,0.04471642049172608,0.45867853327252295
27,0.4731629427888952,0.3865454736733216,0.4298542082311084,0.08661746911557361,0.4298542082311084
28,0.48435976834782385,0.45023354914369523,0.46729665874575954,0.034126219204128616,0.46729665874575954
29,0.4748675996171523,0.43884952023213614,0.4568585599246442,0.036018079385016166,0.4568585599246442
30,0.5047660523663701,0.40959509291901997,0.457180572642695,0.0951709594473501,0.457180572642695
31,0.474823713265116,0.4415931235376708,0.45820841840139337,0.03323058972744525,0.45820841840139337
32,0.48084903739349244,0.4529192369166549,0.4668841371550737,0.02792980047683752,0.4668841371550737
33,0.4909092306095681,0.4125808813782029,0.4517450559938855,0.07832834923136517,0.4517450559938855
34,0.4933300180438345,0.4369589064317076,0.46514446223777106,0.05637111161212688,0.46514446223777106
35,0.4857074922616751,0.42760537096411255,0.4566564316128938,0.05810212129756254,0.4566564316128938
36,0.4965641664296843,0.399220734831994,0.44789245063083916,0.09734343159769032,0.44789245063083916
37,0.49628881255608165,0.42732306474849924,0.46180593865229047,0.06896574780758241,0.46180593865229047
38,0.511775551175615,0.44318530008189405,0.47748042562875453,0.06859025109372097,0.47748042562875453
39,0.5254632521115409,0.4364969964475077,0.4809801242795243,0.08896625566403316,0.4809801242795243
